Category,Service Name,Price (INR),Duration,Notes
Clothes hanger,Ceiling-mounted hanger installation,600,1 hr 30 mins,
Clothes hanger,Wall/door hanger installation,199,30 mins,
Bed,Bed support repair,459,60 mins,
Bed,Bed legs/Headboard repair,299,60 mins,
Cupboard & drawer,Cupboard hinge installation (upto 2),179,30 mins,
Cupboard & drawer,Channel repair (one set),168,30 mins,
Cupboard & drawer,Drawer channel replacement (one set),249,30 mins,
Cupboard & drawer,Cupboard handle installation/replacement,89,30 mins,
Cupboard & drawer,Cupboard lock installation,249,30 mins,
Cupboard & drawer,Cupboard lock replacement,169,30 mins,
Cupboard & drawer,Cupboard lock repair,199,30 mins,
Door,Door accessory installation,129,30 mins,Applicable for one door latch/chain/stopper/magnet
Door,Peephole installation,179,30 mins,
Door,Wooden door installation,699,2 hrs 30 mins,
Door,Major wooden door repair,299,30 mins,Adjusting & trimming of stuck door
Door,Minor wooden door repair,179,30 mins,Minor sticking/misalignment
Door,Door hinge installation (upto 4 hinges),299,30 mins,Wooden door only
Door,Door hinge installation (with dismantle),319,60 mins,
Door,Door lock installation,569,60 mins,
Door,Door lock replacement,449,30 mins,
Door,Door lock repair,259,1 hr 30 mins,
Door,Mesh grill door repair/replacement,449,60 mins,Variant 1
Door,Mesh grill door repair/replacement,269,60 mins,Variant 2
Door,Overhead door closer installation,269,30 mins,
Door,Door closer installation (wall-mounted),499,1 hr 30 mins,
Door,Wooden sliding door repair,369,60 mins,
Drill & hang,Bathroom holder & hanger installations,129,30 mins,
Drill & hang,Drill & hang (wall decor),129,10 mins,
Drill & hang,Bathroom mirror installation,139,30 mins,
Drill & hang,Glass shelf installation,139,30 mins,
Drill & hang,Wooden shelf installation,289,60 mins,
Drill & hang,Corner guard/safety lock installation,299,30 mins,
Drill & hang,Bed fence installation,299,30 mins,
Drill & hang,Safety gate installation,699,30 mins,
Furniture repair,Plastic buffer installation (upto 4),119,30 mins,
Furniture repair,Chair wheels fitting,119,30 mins,
Window & curtain,Curtain blinds measurement,119,60 mins,
Window & curtain,Curtain rod installation (2 brackets),199,30 mins,
Window & curtain,Shower curtain rod installation (2 brackets),199,30 mins,
Window & curtain,Motorised blinds fitting (upto 5ft),339,30 mins,
Window & curtain,Non-motorised blinds fitting (upto 5ft),189,30 mins,
Window & curtain,Window AC frame installation,329,1 hr 30 mins,
Window & curtain,Window closing (post AC removal),169,1 hr 30 mins,
Window & curtain,Window hinge installation (upto 4),199,30 mins,
Furniture assembly,Single bed assembly,449,-,Starts at
Furniture assembly,Double bed assembly,599,-,Starts at
Furniture assembly,Hydraulic bed assembly,1299,-,Starts at
Furniture assembly,Study table assembly,449,-,Starts at
Furniture assembly,Coffee table assembly,269,-,Starts at
Furniture assembly,Cabinet assembly,499,-,Starts at
Furniture assembly,Shelving unit assembly & installation,199,-,Starts at
Furniture assembly,Mandir assembly & installation,199,20 mins,
Furniture assembly,Double door wardrobe assembly,849,2 hrs,
Furniture assembly,Three door wardrobe assembly,949,2 hrs 30 mins,
Furniture assembly,Office chair assembly,249,-,Starts at
Furniture assembly,Book shelf/bookcase assembly & installation,249,-,Starts at
Furniture assembly,Cot assembly,399,30 mins,
Furniture assembly,Single door wardrobe assembly,599,2 hrs,
Furniture assembly,Table/chair wheel fitting,119,15 mins,
Furniture assembly,Four door wardrobe assembly,1049,3 hrs,
Furniture assembly,Shoe rack assembly,199,-,Starts at
Furniture assembly,Standing table assembly,999,2 hrs 30 mins,
Furniture assembly,Shoe cabinet assembly,299,-,Starts at
At home consultation,Book a carpenter (evaluation + quote),99,20 mins,Expert visits and quotes for larger jobs
